id,name,product,SVN,SVNU,SVD,SVDU,category,CD
,Ubiflox 5 mg Tablets for Cats and Dogs,Marbofloxacin Tablets,5,mg,,,POM-V,N
,Ubiflox 20 mg Tablets for Dogs,Marbofloxacin Tablets,20,mg,,,POM-V,N
,Ubiflox 80 mg Tablets for Dogs,Marbofloxacin Tablets,80,mg,,,POM-V,N
,Softiflox 5 mg Flavoured Chewable Tablets for Cats and Dogs,Marbofloxacin Tablets,5,mg,,,POM-V,N
,Softiflox 20 mg Flavoured Chewable Tablets for Dogs,Marbofloxacin Tablets,20,mg,,,POM-V,N
,Softiflox 80 mg Flavoured Chewable Tablets for Dogs,Marbofloxacin Tablets,80,mg,,,POM-V,N
,Marbotab P 20 mg Tablets for Dogs and Cats,Marbofloxacin Tablets,20,mg,,,POM-V,N
,Marbotab P 80 mg Tablets for Dogs,Marbofloxacin Tablets,80,mg,,,POM-V,N
,Actimarbo 5 mg Flavoured Tablets for Dogs and Cats,Marbofloxacin Tablets,5,mg,,,POM-V,N
,Actimarbo 20 mg Flavoured Tablets for Dogs,Marbofloxacin Tablets,20,mg,,,POM-V,N
,Actimarbo 80 mg Flavoured Tablets for Dogs,Marbofloxacin Tablets,80,mg,,,POM-V,N
,Marboxidin 5 mg Chewable Tablets for Dogs and Cats,Marbofloxacin Tablets,5,mg,,,POM-V,N
,Marboxidin 20 mg Chewable Tablets for Dogs,Marbofloxacin Tablets,20,mg,,,POM-V,N
,Marboxidin 80 mg Chewable Tablets for Dogs,Marbofloxacin Tablets,80,mg,,,POM-V,N
,Boflox Flavour 20 mg Tablets for Dogs and Cats,Marbofloxacin Tablets,20,mg,,,POM-V,N
,Orbax Flavoured Oral Suspension 30 mg/ml for Dogs and Cats,Orbifloxacin Liquid,30,mg,1,ml,POM-V,N
,Oxytetrin 20 LA 200 mg/ml Solution for Injection,Oxytetracycline LA Solution for Injection,200,mg,1,ml,POM-V,N
,Oxycare Tablets 50 mg,Oxytetracycline Tablets,50,mg,,,POM-V,N
,Oxycare Tablets 100 mg,Oxytetracycline Tablets,100,mg,,,POM-V,N
,Devomycin 250 mg/ml Solution for Injection,Streptomycin Solution for Injection,250,mg,1,ml,POM-V,N
,Norodine 80 Tablets,Sulfadiazine & Trimethoprim Tablets,480,mg,,,POM-V,N
,Norodine 20 Coated Tablets,Sulfadiazine & Trimethoprim Tablets,120,mg,,,POM-V,N
,Trimacare 20 Tablets,Sulfadiazine & Trimethoprim Tablets,120,mg,,,POM-V,N
,Trimacare 80 Tablets for Dogs,Sulfadiazine & Trimethoprim Tablets,480,mg,,,POM-V,N
,Co Trimazine Tablets 480 mg,Sulfadiazine & Trimethoprim Tablets,480,mg,,,POM-V,N
,Norotyl LA 15% w/v Suspension for Injection,Tylosin Solution for Injection,150,mg,1,ml,POM-V,N
,"Tyluvet 20% w/v, Solution for Injection",Tylosin Solution for Injection,200,mg,1,ml,POM-V,N
,"Tylan 200, 200 mg/ml Solution for Injection",Tylosin Solution for Injection,200,mg,1,ml,POM-V,N
